,ds,yhat,yhat_lower,yhat_upper
80,2010-04-30,1119.6707726795057,698.1222901824225,1502.671923993761
81,2010-05-03,1118.4604390627999,701.6714380410859,1548.3233796184695
82,2010-05-04,1115.8433208835945,699.1818240491618,1519.1604424873985
83,2010-05-05,1111.1862888915175,696.9481761392856,1523.80215105433
84,2010-05-06,1110.7773941401122,721.7587607931553,1511.7679045168359
85,2010-05-07,1109.8835053524574,700.7159868835626,1532.740349657676
86,2010-05-10,1110.0481722428904,700.827087440503,1485.8779949589693
87,2010-05-11,1108.1118820157465,711.7586199816858,1507.6413290098164
88,2010-05-12,1104.2421356576433,704.082891301786,1516.8677176021117
89,2010-05-13,1104.721326875579,720.8211008820031,1494.6383731506958
90,2010-05-14,1104.8086771647072,700.0187156405601,1507.3253406122058
91,2010-05-17,1108.369338107771,686.935415597908,1525.8487094902548
